Year,Month,Day,Season,Regime
2000,1,1,Wint,2
2000,1,2,Wint,2
2000,1,3,Wint,2
2000,1,4,Wint,2
2000,1,5,Wint,1
2000,1,6,Wint,2
2000,1,7,Wint,2
2000,1,8,Wint,2
2000,1,9,Wint,5
2000,1,10,Wint,2
2000,1,11,Wint,2
2000,1,12,Wint,2
2000,1,13,Wint,0
2000,1,14,Wint,5
2000,1,15,Wint,5
2000,1,16,Wint,5
2000,1,17,Wint,5
2000,1,18,Wint,0
2000,1,19,Wint,5
2000,1,20,Wint,0
2000,1,21,Wint,5
2000,1,22,Wint,0
2000,1,23,Wint,0
2000,1,24,Wint,5
2000,1,25,Wint,5
2000,1,26,Wint,5
2000,1,27,Wint,2
2000,1,28,Wint,2
2000,1,29,Wint,1
2000,1,30,Wint,2
2000,1,31,Wint,2
2000,2,1,Wint,2
2000,2,2,Wint,2
2000,2,3,Wint,5
2000,2,4,Wint,2
2000,2,5,Wint,2
2000,2,6,Wint,2
2000,2,7,Wint,1
2000,2,8,Wint,1
2000,2,9,Wint,2
2000,2,10,Wint,2
2000,2,11,Wint,2
2000,2,12,Wint,2
2000,2,13,Wint,0
2000,2,14,Wint,2
2000,2,15,Wint,2
2000,2,16,Wint,1
2000,2,17,Wint,1
2000,2,18,Wint,1
2000,2,19,Wint,0
2000,2,20,Wint,3
2000,2,21,Wint,5
2000,2,22,Wint,3
2000,2,23,Wint,3
2000,2,24,Wint,2
2000,2,25,Wint,2
2000,2,26,Wint,2
2000,2,27,Wint,2
2000,2,28,Wint,2
2000,2,29,Wint,1
2000,3,1,Spr,0
2000,3,2,Spr,2
2000,3,3,Spr,0
2000,3,4,Spr,0
2000,3,5,Spr,2
2000,3,6,Spr,2
2000,3,7,Spr,2
2000,3,8,Spr,2
2000,3,9,Spr,0
2000,3,10,Spr,2
2000,3,11,Spr,5
2000,3,12,Spr,5
2000,3,13,Spr,2
2000,3,14,Spr,0
2000,3,15,Spr,5
2000,3,16,Spr,5
2000,3,17,Spr,5
2000,3,18,Spr,5
2000,3,19,Spr,5
2000,3,20,Spr,5
2000,3,21,Spr,5
2000,3,22,Spr,0
2000,3,23,Spr,4
2000,3,24,Spr,3
2000,3,25,Spr,1
2000,3,26,Spr,0
2000,3,27,Spr,5
2000,3,28,Spr,5
2000,3,29,Spr,5
2000,3,30,Spr,0
2000,3,31,Spr,1
2000,4,1,Spr,1
2000,4,2,Spr,0
2000,4,3,Spr,0
2000,4,4,Spr,0
2000,4,5,Spr,5
2000,4,6,Spr,5
2000,4,7,Spr,5
2000,4,8,Spr,5
2000,4,9,Spr,5
2000,4,10,Spr,0
2000,4,11,Spr,1
2000,4,12,Spr,0
2000,4,13,Spr,0
2000,4,14,Spr,0
2000,4,15,Spr,1
2000,4,16,Spr,1
2000,4,17,Spr,1
2000,4,18,Spr,1
2000,4,19,Spr,1
2000,4,20,Spr,1
2000,4,21,Spr,1
2000,4,22,Spr,1
2000,4,23,Spr,1
2000,4,24,Spr,1
2000,4,25,Spr,0
2000,4,26,Spr,0
2000,4,27,Spr,4
2000,4,28,Spr,4
2000,4,29,Spr,4
2000,4,30,Spr,5
2000,5,1,Spr,5
2000,5,2,Spr,5
2000,5,3,Spr,5
2000,5,4,Spr,5
2000,5,5,Spr,5
2000,5,6,Spr,5
2000,5,7,Spr,5
2000,5,8,Spr,5
2000,5,9,Spr,5
2000,5,10,Spr,5
2000,5,11,Spr,4
2000,5,12,Spr,4
2000,5,13,Spr,4
2000,5,14,Spr,4
2000,5,15,Spr,3
2000,5,16,Spr,3
2000,5,17,Spr,2
2000,5,18,Spr,2
2000,5,19,Spr,0
2000,5,20,Spr,0
2000,5,21,Spr,2
2000,5,22,Spr,2
2000,5,23,Spr,3
2000,5,24,Spr,2
2000,5,25,Spr,2
2000,5,26,Spr,1
2000,5,27,Spr,1
2000,5,28,Spr,1
2000,5,29,Spr,0
2000,5,30,Spr,1
2000,5,31,Spr,4
2000,6,1,Summ,1
2000,6,2,Summ,0
2000,6,3,Summ,0
2000,6,4,Summ,4
2000,6,5,Summ,4
2000,6,6,Summ,3
2000,6,7,Summ,4
2000,6,8,Summ,1
2000,6,9,Summ,3
2000,6,10,Summ,1
2000,6,11,Summ,2
2000,6,12,Summ,2
2000,6,13,Summ,2
2000,6,14,Summ,2
2000,6,15,Summ,0
2000,6,16,Summ,4
2000,6,17,Summ,3
2000,6,18,Summ,3
2000,6,19,Summ,2
2000,6,20,Summ,4
2000,6,21,Summ,1
2000,6,22,Summ,1
2000,6,23,Summ,0
2000,6,24,Summ,0
2000,6,25,Summ,0
2000,6,26,Summ,4
2000,6,27,Summ,4
2000,6,28,Summ,4
2000,6,29,Summ,4
2000,6,30,Summ,4
2000,7,1,Summ,1
2000,7,2,Summ,4
2000,7,3,Summ,4
2000,7,4,Summ,0
2000,7,5,Summ,0
2000,7,6,Summ,0
2000,7,7,Summ,0
2000,7,8,Summ,2
2000,7,9,Summ,1
2000,7,10,Summ,0
2000,7,11,Summ,0
2000,7,12,Summ,2
2000,7,13,Summ,2
2000,7,14,Summ,0
2000,7,15,Summ,0
2000,7,16,Summ,5
2000,7,17,Summ,5
2000,7,18,Summ,5
2000,7,19,Summ,5
2000,7,20,Summ,5
2000,7,21,Summ,5
2000,7,22,Summ,5
2000,7,23,Summ,4
2000,7,24,Summ,4
2000,7,25,Summ,0
2000,7,26,Summ,1
2000,7,27,Summ,1
2000,7,28,Summ,1
2000,7,29,Summ,0
2000,7,30,Summ,4
2000,7,31,Summ,4
2000,8,1,Summ,1
2000,8,2,Summ,0
2000,8,3,Summ,2
2000,8,4,Summ,2
2000,8,5,Summ,2
2000,8,6,Summ,0
2000,8,7,Summ,0
2000,8,8,Summ,4
2000,8,9,Summ,2
2000,8,10,Summ,0
2000,8,11,Summ,4
2000,8,12,Summ,3
2000,8,13,Summ,3
2000,8,14,Summ,3
2000,8,15,Summ,2
2000,8,16,Summ,1
2000,8,17,Summ,1
2000,8,18,Summ,1
2000,8,19,Summ,0
2000,8,20,Summ,0
2000,8,21,Summ,4
2000,8,22,Summ,5
2000,8,23,Summ,5
2000,8,24,Summ,5
2000,8,25,Summ,5
2000,8,26,Summ,3
2000,8,27,Summ,3
2000,8,28,Summ,4
2000,8,29,Summ,4
2000,8,30,Summ,4
2000,8,31,Summ,1
2000,9,1,Aut,0
2000,9,2,Aut,0
2000,9,3,Aut,4
2000,9,4,Aut,3
2000,9,5,Aut,3
2000,9,6,Aut,2
2000,9,7,Aut,2
2000,9,8,Aut,2
2000,9,9,Aut,2
2000,9,10,Aut,0
2000,9,11,Aut,4
2000,9,12,Aut,4
2000,9,13,Aut,3
2000,9,14,Aut,3
2000,9,15,Aut,3
2000,9,16,Aut,2
2000,9,17,Aut,1
2000,9,18,Aut,1
2000,9,19,Aut,1
2000,9,20,Aut,3
2000,9,21,Aut,3
2000,9,22,Aut,3
2000,9,23,Aut,3
2000,9,24,Aut,3
2000,9,25,Aut,4
2000,9,26,Aut,3
2000,9,27,Aut,3
2000,9,28,Aut,1
2000,9,29,Aut,1
2000,9,30,Aut,3
2000,10,1,Aut,1
2000,10,2,Aut,3
2000,10,3,Aut,3
2000,10,4,Aut,2
2000,10,5,Aut,2
2000,10,6,Aut,5
2000,10,7,Aut,3
2000,10,8,Aut,2
2000,10,9,Aut,1
2000,10,10,Aut,1
2000,10,11,Aut,1
2000,10,12,Aut,0
2000,10,13,Aut,3
2000,10,14,Aut,3
2000,10,15,Aut,3
2000,10,16,Aut,3
2000,10,17,Aut,3
2000,10,18,Aut,3
2000,10,19,Aut,3
2000,10,20,Aut,3
2000,10,21,Aut,2
2000,10,22,Aut,3
2000,10,23,Aut,1
2000,10,24,Aut,2
2000,10,25,Aut,2
2000,10,26,Aut,4
2000,10,27,Aut,3
2000,10,28,Aut,3
2000,10,29,Aut,1
2000,10,30,Aut,1
2000,10,31,Aut,1
2000,11,1,Aut,1
2000,11,2,Aut,1
2000,11,3,Aut,1
2000,11,4,Aut,1
2000,11,5,Aut,1
2000,11,6,Aut,0
2000,11,7,Aut,0
2000,11,8,Aut,0
2000,11,9,Aut,0
2000,11,10,Aut,1
2000,11,11,Aut,1
2000,11,12,Aut,1
2000,11,13,Aut,1
2000,11,14,Aut,0
2000,11,15,Aut,3
2000,11,16,Aut,2
2000,11,17,Aut,2
2000,11,18,Aut,1
2000,11,19,Aut,1
2000,11,20,Aut,1
2000,11,21,Aut,1
2000,11,22,Aut,1
2000,11,23,Aut,1
2000,11,24,Aut,1
2000,11,25,Aut,1
2000,11,26,Aut,1
2000,11,27,Aut,1
2000,11,28,Aut,3
2000,11,29,Aut,1
2000,11,30,Aut,3
2000,12,1,Wint,3
2000,12,2,Wint,1
2000,12,3,Wint,3
2000,12,4,Wint,3
2000,12,5,Wint,1
2000,12,6,Wint,1
2000,12,7,Wint,1
2000,12,8,Wint,1
2000,12,9,Wint,1
2000,12,10,Wint,1
2000,12,11,Wint,1
2000,12,12,Wint,1
2000,12,13,Wint,1
2000,12,14,Wint,0
2000,12,15,Wint,0
2000,12,16,Wint,0
2000,12,17,Wint,4
2000,12,18,Wint,4
2000,12,19,Wint,3
2000,12,20,Wint,3
2000,12,21,Wint,4
2000,12,22,Wint,4
2000,12,23,Wint,4
2000,12,24,Wint,4
2000,12,25,Wint,4
2000,12,26,Wint,0
2000,12,27,Wint,0
2000,12,28,Wint,0
2000,12,29,Wint,0
2000,12,30,Wint,0
2000,12,31,Wint,1
2001,1,1,Wint,1
2001,1,2,Wint,1
2001,1,3,Wint,1
2001,1,4,Wint,1
2001,1,5,Wint,1
2001,1,6,Wint,1
2001,1,7,Wint,1
2001,1,8,Wint,0
2001,1,9,Wint,4
2001,1,10,Wint,4
2001,1,11,Wint,5
2001,1,12,Wint,5
2001,1,13,Wint,5
2001,1,14,Wint,5
2001,1,15,Wint,5
2001,1,16,Wint,5
2001,1,17,Wint,4
2001,1,18,Wint,5
2001,1,19,Wint,3
2001,1,20,Wint,4
2001,1,21,Wint,3
2001,1,22,Wint,3
2001,1,23,Wint,3
2001,1,24,Wint,1
2001,1,25,Wint,1
2001,1,26,Wint,1
2001,1,27,Wint,3
2001,1,28,Wint,0
2001,1,29,Wint,4
2001,1,30,Wint,3
2001,1,31,Wint,4
2001,2,1,Wint,3
2001,2,2,Wint,3
2001,2,3,Wint,4
2001,2,4,Wint,1
2001,2,5,Wint,1
2001,2,6,Wint,1
2001,2,7,Wint,1
2001,2,8,Wint,0
2001,2,9,Wint,4
2001,2,10,Wint,3
2001,2,11,Wint,2
2001,2,12,Wint,2
2001,2,13,Wint,5
2001,2,14,Wint,5
2001,2,15,Wint,5
2001,2,16,Wint,5
2001,2,17,Wint,5
2001,2,18,Wint,5
2001,2,19,Wint,5
2001,2,20,Wint,5
2001,2,21,Wint,5
2001,2,22,Wint,0
2001,2,23,Wint,0
2001,2,24,Wint,0
2001,2,25,Wint,0
2001,2,26,Wint,1
2001,2,27,Wint,0
2001,2,28,Wint,0
2001,3,1,Spr,4
2001,3,2,Spr,4
2001,3,3,Spr,1
2001,3,4,Spr,1
2001,3,5,Spr,3
2001,3,6,Spr,4
2001,3,7,Spr,3
2001,3,8,Spr,3
2001,3,9,Spr,3
2001,3,10,Spr,1
2001,3,11,Spr,1
2001,3,12,Spr,1
2001,3,13,Spr,1
2001,3,14,Spr,1
2001,3,15,Spr,4
2001,3,16,Spr,4
2001,3,17,Spr,4
2001,3,18,Spr,4
2001,3,19,Spr,4
2001,3,20,Spr,4
2001,3,21,Spr,4
2001,3,22,Spr,4
2001,3,23,Spr,4
2001,3,24,Spr,4
2001,3,25,Spr,4
2001,3,26,Spr,4
2001,3,27,Spr,3
2001,3,28,Spr,1
2001,3,29,Spr,1
2001,3,30,Spr,3
2001,3,31,Spr,2
2001,4,1,Spr,2
2001,4,2,Spr,1
2001,4,3,Spr,1
2001,4,4,Spr,1
2001,4,5,Spr,1
2001,4,6,Spr,1
2001,4,7,Spr,0
2001,4,8,Spr,1
2001,4,9,Spr,1
2001,4,10,Spr,0
2001,4,11,Spr,4
2001,4,12,Spr,4
2001,4,13,Spr,5
2001,4,14,Spr,2
2001,4,15,Spr,0
2001,4,16,Spr,0
2001,4,17,Spr,0
2001,4,18,Spr,0
2001,4,19,Spr,0
2001,4,20,Spr,5
2001,4,21,Spr,3
2001,4,22,Spr,3
2001,4,23,Spr,4
2001,4,24,Spr,1
2001,4,25,Spr,1
2001,4,26,Spr,4
2001,4,27,Spr,3
2001,4,28,Spr,1
2001,4,29,Spr,0
2001,4,30,Spr,0
2001,5,1,Spr,5
2001,5,2,Spr,5
2001,5,3,Spr,0
2001,5,4,Spr,0
2001,5,5,Spr,5
2001,5,6,Spr,5
2001,5,7,Spr,5
2001,5,8,Spr,5
2001,5,9,Spr,5
2001,5,10,Spr,4
2001,5,11,Spr,4
2001,5,12,Spr,4
2001,5,13,Spr,4
2001,5,14,Spr,4
2001,5,15,Spr,1
2001,5,16,Spr,1
2001,5,17,Spr,0
2001,5,18,Spr,0
2001,5,19,Spr,2
2001,5,20,Spr,5
2001,5,21,Spr,5
2001,5,22,Spr,5
2001,5,23,Spr,4
2001,5,24,Spr,4
2001,5,25,Spr,3
2001,5,26,Spr,2
2001,5,27,Spr,2
2001,5,28,Spr,2
2001,5,29,Spr,2
2001,5,30,Spr,2
2001,5,31,Spr,2
2001,6,1,Summ,2
2001,6,2,Summ,0
2001,6,3,Summ,5
2001,6,4,Summ,2
2001,6,5,Summ,2
2001,6,6,Summ,1
2001,6,7,Summ,0
2001,6,8,Summ,0
2001,6,9,Summ,0
2001,6,10,Summ,0
2001,6,11,Summ,0
2001,6,12,Summ,4
2001,6,13,Summ,4
2001,6,14,Summ,4
2001,6,15,Summ,1
2001,6,16,Summ,0
2001,6,17,Summ,0
2001,6,18,Summ,4
2001,6,19,Summ,3
2001,6,20,Summ,2
2001,6,21,Summ,0
2001,6,22,Summ,4
2001,6,23,Summ,4
2001,6,24,Summ,4
2001,6,25,Summ,4
2001,6,26,Summ,4
2001,6,27,Summ,1
2001,6,28,Summ,1
2001,6,29,Summ,1
2001,6,30,Summ,2
2001,7,1,Summ,2
2001,7,2,Summ,5
2001,7,3,Summ,3
2001,7,4,Summ,0
2001,7,5,Summ,5
2001,7,6,Summ,0
2001,7,7,Summ,0
2001,7,8,Summ,1
2001,7,9,Summ,1
2001,7,10,Summ,1
2001,7,11,Summ,1
2001,7,12,Summ,1
2001,7,13,Summ,0
2001,7,14,Summ,0
2001,7,15,Summ,0
2001,7,16,Summ,4
2001,7,17,Summ,4
2001,7,18,Summ,0
2001,7,19,Summ,0
2001,7,20,Summ,1
2001,7,21,Summ,1
2001,7,22,Summ,1
2001,7,23,Summ,3
2001,7,24,Summ,3
2001,7,25,Summ,5
2001,7,26,Summ,4
2001,7,27,Summ,4
2001,7,28,Summ,5
2001,7,29,Summ,2
2001,7,30,Summ,2
2001,7,31,Summ,5
2001,8,1,Summ,5
2001,8,2,Summ,3
2001,8,3,Summ,1
2001,8,4,Summ,1
2001,8,5,Summ,1
2001,8,6,Summ,1
2001,8,7,Summ,1
2001,8,8,Summ,0
2001,8,9,Summ,0
2001,8,10,Summ,2
2001,8,11,Summ,2
2001,8,12,Summ,2
2001,8,13,Summ,2
2001,8,14,Summ,3
2001,8,15,Summ,3
2001,8,16,Summ,2
2001,8,17,Summ,2
2001,8,18,Summ,4
2001,8,19,Summ,3
2001,8,20,Summ,3
2001,8,21,Summ,3
2001,8,22,Summ,3
2001,8,23,Summ,3
2001,8,24,Summ,3
2001,8,25,Summ,3
2001,8,26,Summ,0
2001,8,27,Summ,5
2001,8,28,Summ,5
2001,8,29,Summ,3
2001,8,30,Summ,0
2001,8,31,Summ,0
2001,9,1,Aut,2
2001,9,2,Aut,2
2001,9,3,Aut,0
2001,9,4,Aut,0
2001,9,5,Aut,2
2001,9,6,Aut,2
2001,9,7,Aut,2
2001,9,8,Aut,0
2001,9,9,Aut,0
2001,9,10,Aut,5
2001,9,11,Aut,5
2001,9,12,Aut,2
2001,9,13,Aut,0
2001,9,14,Aut,2
2001,9,15,Aut,2
2001,9,16,Aut,0
2001,9,17,Aut,5
2001,9,18,Aut,5
2001,9,19,Aut,4
2001,9,20,Aut,0
2001,9,21,Aut,4
2001,9,22,Aut,4
2001,9,23,Aut,4
2001,9,24,Aut,4
2001,9,25,Aut,4
2001,9,26,Aut,4
2001,9,27,Aut,4
2001,9,28,Aut,4
2001,9,29,Aut,4
2001,9,30,Aut,3
2001,10,1,Aut,1
2001,10,2,Aut,1
2001,10,3,Aut,2
2001,10,4,Aut,1
2001,10,5,Aut,1
2001,10,6,Aut,1
2001,10,7,Aut,1
2001,10,8,Aut,1
2001,10,9,Aut,2
2001,10,10,Aut,2
2001,10,11,Aut,5
2001,10,12,Aut,2
2001,10,13,Aut,5
2001,10,14,Aut,3
2001,10,15,Aut,3
2001,10,16,Aut,3
2001,10,17,Aut,4
2001,10,18,Aut,4
2001,10,19,Aut,4
2001,10,20,Aut,4
2001,10,21,Aut,4
2001,10,22,Aut,4
2001,10,23,Aut,3
2001,10,24,Aut,3
2001,10,25,Aut,3
2001,10,26,Aut,1
2001,10,27,Aut,1
2001,10,28,Aut,5
2001,10,29,Aut,2
2001,10,30,Aut,1
2001,10,31,Aut,0
2001,11,1,Aut,5
2001,11,2,Aut,5
2001,11,3,Aut,2
2001,11,4,Aut,0
2001,11,5,Aut,2
2001,11,6,Aut,0
2001,11,7,Aut,0
2001,11,8,Aut,0
2001,11,9,Aut,5
2001,11,10,Aut,2
2001,11,11,Aut,0
2001,11,12,Aut,0
2001,11,13,Aut,0
2001,11,14,Aut,5
2001,11,15,Aut,5
2001,11,16,Aut,5
2001,11,17,Aut,5
2001,11,18,Aut,5
2001,11,19,Aut,5
2001,11,20,Aut,2
2001,11,21,Aut,2
2001,11,22,Aut,0
2001,11,23,Aut,5
2001,11,24,Aut,5
2001,11,25,Aut,2
2001,11,26,Aut,5
2001,11,27,Aut,2
2001,11,28,Aut,2
2001,11,29,Aut,2
2001,11,30,Aut,3
2001,12,1,Wint,2
2001,12,2,Wint,3
2001,12,3,Wint,3
2001,12,4,Wint,2
2001,12,5,Wint,3
2001,12,6,Wint,5
2001,12,7,Wint,3
2001,12,8,Wint,5
2001,12,9,Wint,5
2001,12,10,Wint,5
2001,12,11,Wint,5
2001,12,12,Wint,5
2001,12,13,Wint,4
2001,12,14,Wint,5
2001,12,15,Wint,5
2001,12,16,Wint,5
2001,12,17,Wint,5
2001,12,18,Wint,5
2001,12,19,Wint,0
2001,12,20,Wint,0
2001,12,21,Wint,0
2001,12,22,Wint,0
2001,12,23,Wint,2
2001,12,24,Wint,0
2001,12,25,Wint,0
2001,12,26,Wint,0
2001,12,27,Wint,1
2001,12,28,Wint,1
2001,12,29,Wint,1
2001,12,30,Wint,0
2001,12,31,Wint,5
2002,1,1,Wint,5
2002,1,2,Wint,4
2002,1,3,Wint,3
2002,1,4,Wint,3
2002,1,5,Wint,5
2002,1,6,Wint,5
2002,1,7,Wint,5
2002,1,8,Wint,5
2002,1,9,Wint,5
2002,1,10,Wint,5
2002,1,11,Wint,2
2002,1,12,Wint,3
2002,1,13,Wint,2
2002,1,14,Wint,2
2002,1,15,Wint,2
2002,1,16,Wint,2
2002,1,17,Wint,2
2002,1,18,Wint,3
2002,1,19,Wint,2
2002,1,20,Wint,1
2002,1,21,Wint,1
2002,1,22,Wint,1
2002,1,23,Wint,1
2002,1,24,Wint,0
2002,1,25,Wint,1
2002,1,26,Wint,1
2002,1,27,Wint,1
2002,1,28,Wint,1
2002,1,29,Wint,1
2002,1,30,Wint,1
2002,1,31,Wint,1
2002,2,1,Wint,1
2002,2,2,Wint,2
2002,2,3,Wint,3
2002,2,4,Wint,1
2002,2,5,Wint,1
2002,2,6,Wint,0
2002,2,7,Wint,2
2002,2,8,Wint,2
2002,2,9,Wint,1
2002,2,10,Wint,1
2002,2,11,Wint,1
2002,2,12,Wint,1
2002,2,13,Wint,5
2002,2,14,Wint,5
2002,2,15,Wint,5
2002,2,16,Wint,5
2002,2,17,Wint,2
2002,2,18,Wint,2
2002,2,19,Wint,2
2002,2,20,Wint,0
2002,2,21,Wint,2
2002,2,22,Wint,2
2002,2,23,Wint,0
2002,2,24,Wint,2
2002,2,25,Wint,1
2002,2,26,Wint,1
2002,2,27,Wint,1
2002,2,28,Wint,0
2002,3,1,Spr,0
2002,3,2,Spr,5
2002,3,3,Spr,5
2002,3,4,Spr,2
2002,3,5,Spr,2
2002,3,6,Spr,2
2002,3,7,Spr,0
2002,3,8,Spr,2
2002,3,9,Spr,2
2002,3,10,Spr,1
2002,3,11,Spr,1
2002,3,12,Spr,0
2002,3,13,Spr,5
2002,3,14,Spr,4
2002,3,15,Spr,4
2002,3,16,Spr,3
2002,3,17,Spr,1
2002,3,18,Spr,1
2002,3,19,Spr,1
2002,3,20,Spr,4
2002,3,21,Spr,4
2002,3,22,Spr,4
2002,3,23,Spr,4
2002,3,24,Spr,3
2002,3,25,Spr,5
2002,3,26,Spr,5
2002,3,27,Spr,5
2002,3,28,Spr,5
2002,3,29,Spr,5
2002,3,30,Spr,3
2002,3,31,Spr,3
2002,4,1,Spr,3
2002,4,2,Spr,3
2002,4,3,Spr,3
2002,4,4,Spr,3
2002,4,5,Spr,4
2002,4,6,Spr,4
2002,4,7,Spr,5
2002,4,8,Spr,5
2002,4,9,Spr,5
2002,4,10,Spr,5
2002,4,11,Spr,0
2002,4,12,Spr,0
2002,4,13,Spr,5
2002,4,14,Spr,5
2002,4,15,Spr,4
2002,4,16,Spr,3
2002,4,17,Spr,3
2002,4,18,Spr,4
2002,4,19,Spr,4
2002,4,20,Spr,3
2002,4,21,Spr,3
2002,4,22,Spr,2
2002,4,23,Spr,5
2002,4,24,Spr,3
2002,4,25,Spr,2
2002,4,26,Spr,1
2002,4,27,Spr,2
2002,4,28,Spr,1
2002,4,29,Spr,1
2002,4,30,Spr,1
2002,5,1,Spr,1
2002,5,2,Spr,0
2002,5,3,Spr,0
2002,5,4,Spr,0
2002,5,5,Spr,5
2002,5,6,Spr,5
2002,5,7,Spr,5
2002,5,8,Spr,0
2002,5,9,Spr,4
2002,5,10,Spr,1
2002,5,11,Spr,1
2002,5,12,Spr,1
2002,5,13,Spr,1
2002,5,14,Spr,1
2002,5,15,Spr,1
2002,5,16,Spr,4
2002,5,17,Spr,4
2002,5,18,Spr,4
2002,5,19,Spr,3
2002,5,20,Spr,3
2002,5,21,Spr,3
2002,5,22,Spr,1
2002,5,23,Spr,3
2002,5,24,Spr,1
2002,5,25,Spr,1
2002,5,26,Spr,1
2002,5,27,Spr,1
2002,5,28,Spr,3
2002,5,29,Spr,3
2002,5,30,Spr,2
2002,5,31,Spr,5
2002,6,1,Summ,3
2002,6,2,Summ,3
2002,6,3,Summ,1
2002,6,4,Summ,1
2002,6,5,Summ,4
2002,6,6,Summ,3
2002,6,7,Summ,3
2002,6,8,Summ,3
2002,6,9,Summ,1
2002,6,10,Summ,1
2002,6,11,Summ,1
2002,6,12,Summ,1
2002,6,13,Summ,1
2002,6,14,Summ,1
2002,6,15,Summ,1
2002,6,16,Summ,4
2002,6,17,Summ,3
2002,6,18,Summ,2
2002,6,19,Summ,2
2002,6,20,Summ,4
2002,6,21,Summ,1
2002,6,22,Summ,1
2002,6,23,Summ,0
2002,6,24,Summ,2
2002,6,25,Summ,2
2002,6,26,Summ,2
2002,6,27,Summ,0
2002,6,28,Summ,0
2002,6,29,Summ,0
2002,6,30,Summ,2
2002,7,1,Summ,1
2002,7,2,Summ,1
